id,ref,phases,expmeth,solvent,property,property_type,V1,V2,V3,V4,dV4,dV3,temperature,pressure,mole_fraction,gamma,cmp1_id,cmp1_name,cmp1_formula,cmp1_smiles,cmp1_smiles_error,cmp1_sample,cmp1_mw,cmp2_id,cmp2_name,cmp2_formula,cmp2_smiles,cmp2_smiles_error,cmp2_sample,cmp2_mw,SMILES_IL,SMILES_solute,IL_name,solute_name,IL_id,solute_id
Sxfyh,"{'full': 'Domanska, U.; Marciniak, A. (2010) J. Phys. Chem. B 112(35), 11100-11105.', 'title': 'Activity Coefficients at Infinite Dilution Measurements for Organic Solutes and Water in the Ionic Liquid 1-Butyl-3-methylimidazolium Trifluoromethanesulfonate'}",['Liquid'],Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",298.15,101.0,0.0,3.68,0.25,,298.15,101.0,0.0,3.68,AAPpqL,1-hexyne,C6 H10,C#CCCCC,,"{'Source': 'commercial source', 'Purification': 'stated by supplier', 'Purity': '99 mass %'}",82.15,ABDWVo,1-butyl-3-methylimidazolium trifluoromethanesulfonate,C9 F3 H15 N2 O3 S,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,,"{'Source': 'commercial source', 'Purification': 'stated by supplier', 'Purity': '99.9 mass %', 'Purity analysis': 'dried by vacuum heating'}",288.29,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,C#CCCCC,1-butyl-3-methylimidazolium trifluoromethanesulfonate,1-hexyne,ABDWVo,AAPpqL
Sxfyh,"{'full': 'Domanska, U.; Marciniak, A. (2010) J. Phys. Chem. B 112(35), 11100-11105.', 'title': 'Activity Coefficients at Infinite Dilution Measurements for Organic Solutes and Water in the Ionic Liquid 1-Butyl-3-methylimidazolium Trifluoromethanesulfonate'}",['Liquid'],Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",308.15,101.0,0.0,3.75,0.26,,308.15,101.0,0.0,3.75,AAPpqL,1-hexyne,C6 H10,C#CCCCC,,"{'Source': 'commercial source', 'Purification': 'stated by supplier', 'Purity': '99 mass %'}",82.15,ABDWVo,1-butyl-3-methylimidazolium trifluoromethanesulfonate,C9 F3 H15 N2 O3 S,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,,"{'Source': 'commercial source', 'Purification': 'stated by supplier', 'Purity': '99.9 mass %', 'Purity analysis': 'dried by vacuum heating'}",288.29,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,C#CCCCC,1-butyl-3-methylimidazolium trifluoromethanesulfonate,1-hexyne,ABDWVo,AAPpqL
Sxfyh,"{'full': 'Domanska, U.; Marciniak, A. (2010) J. Phys. Chem. B 112(35), 11100-11105.', 'title': 'Activity Coefficients at Infinite Dilution Measurements for Organic Solutes and Water in the Ionic Liquid 1-Butyl-3-methylimidazolium Trifluoromethanesulfonate'}",['Liquid'],Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",318.15,101.0,0.0,3.83,0.26,,318.15,101.0,0.0,3.83,AAPpqL,1-hexyne,C6 H10,C#CCCCC,,"{'Source': 'commercial source', 'Purification': 'stated by supplier', 'Purity': '99 mass %'}",82.15,ABDWVo,1-butyl-3-methylimidazolium trifluoromethanesulfonate,C9 F3 H15 N2 O3 S,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,,"{'Source': 'commercial source', 'Purification': 'stated by supplier', 'Purity': '99.9 mass %', 'Purity analysis': 'dried by vacuum heating'}",288.29,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,C#CCCCC,1-butyl-3-methylimidazolium trifluoromethanesulfonate,1-hexyne,ABDWVo,AAPpqL
Sxfyh,"{'full': 'Domanska, U.; Marciniak, A. (2010) J. Phys. Chem. B 112(35), 11100-11105.', 'title': 'Activity Coefficients at Infinite Dilution Measurements for Organic Solutes and Water in the Ionic Liquid 1-Butyl-3-methylimidazolium Trifluoromethanesulfonate'}",['Liquid'],Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",328.15,101.0,0.0,3.89,0.26,,328.15,101.0,0.0,3.89,AAPpqL,1-hexyne,C6 H10,C#CCCCC,,"{'Source': 'commercial source', 'Purification': 'stated by supplier', 'Purity': '99 mass %'}",82.15,ABDWVo,1-butyl-3-methylimidazolium trifluoromethanesulfonate,C9 F3 H15 N2 O3 S,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,,"{'Source': 'commercial source', 'Purification': 'stated by supplier', 'Purity': '99.9 mass %', 'Purity analysis': 'dried by vacuum heating'}",288.29,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,C#CCCCC,1-butyl-3-methylimidazolium trifluoromethanesulfonate,1-hexyne,ABDWVo,AAPpqL
Sxfyh,"{'full': 'Domanska, U.; Marciniak, A. (2010) J. Phys. Chem. B 112(35), 11100-11105.', 'title': 'Activity Coefficients at Infinite Dilution Measurements for Organic Solutes and Water in the Ionic Liquid 1-Butyl-3-methylimidazolium Trifluoromethanesulfonate'}",['Liquid'],Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",338.15,101.0,0.0,3.96,0.27,,338.15,101.0,0.0,3.96,AAPpqL,1-hexyne,C6 H10,C#CCCCC,,"{'Source': 'commercial source', 'Purification': 'stated by supplier', 'Purity': '99 mass %'}",82.15,ABDWVo,1-butyl-3-methylimidazolium trifluoromethanesulfonate,C9 F3 H15 N2 O3 S,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,,"{'Source': 'commercial source', 'Purification': 'stated by supplier', 'Purity': '99.9 mass %', 'Purity analysis': 'dried by vacuum heating'}",288.29,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,C#CCCCC,1-butyl-3-methylimidazolium trifluoromethanesulfonate,1-hexyne,ABDWVo,AAPpqL
Sxfyh,"{'full': 'Domanska, U.; Marciniak, A. (2010) J. Phys. Chem. B 112(35), 11100-11105.', 'title': 'Activity Coefficients at Infinite Dilution Measurements for Organic Solutes and Water in the Ionic Liquid 1-Butyl-3-methylimidazolium Trifluoromethanesulfonate'}",['Liquid'],Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",348.15,101.0,0.0,4.02,0.27,,348.15,101.0,0.0,4.02,AAPpqL,1-hexyne,C6 H10,C#CCCCC,,"{'Source': 'commercial source', 'Purification': 'stated by supplier', 'Purity': '99 mass %'}",82.15,ABDWVo,1-butyl-3-methylimidazolium trifluoromethanesulfonate,C9 F3 H15 N2 O3 S,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,,"{'Source': 'commercial source', 'Purification': 'stated by supplier', 'Purity': '99.9 mass %', 'Purity analysis': 'dried by vacuum heating'}",288.29,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,C#CCCCC,1-butyl-3-methylimidazolium trifluoromethanesulfonate,1-hexyne,ABDWVo,AAPpqL
Sxfyh,"{'full': 'Domanska, U.; Marciniak, A. (2010) J. Phys. Chem. B 112(35), 11100-11105.', 'title': 'Activity Coefficients at Infinite Dilution Measurements for Organic Solutes and Water in the Ionic Liquid 1-Butyl-3-methylimidazolium Trifluoromethanesulfonate'}",['Liquid'],Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",358.15,101.0,0.0,4.06,0.28,,358.15,101.0,0.0,4.06,AAPpqL,1-hexyne,C6 H10,C#CCCCC,,"{'Source': 'commercial source', 'Purification': 'stated by supplier', 'Purity': '99 mass %'}",82.15,ABDWVo,1-butyl-3-methylimidazolium trifluoromethanesulfonate,C9 F3 H15 N2 O3 S,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,,"{'Source': 'commercial source', 'Purification': 'stated by supplier', 'Purity': '99.9 mass %', 'Purity analysis': 'dried by vacuum heating'}",288.29,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,C#CCCCC,1-butyl-3-methylimidazolium trifluoromethanesulfonate,1-hexyne,ABDWVo,AAPpqL
Sxfyh,"{'full': 'Domanska, U.; Marciniak, A. (2010) J. Phys. Chem. B 112(35), 11100-11105.', 'title': 'Activity Coefficients at Infinite Dilution Measurements for Organic Solutes and Water in the Ionic Liquid 1-Butyl-3-methylimidazolium Trifluoromethanesulfonate'}",['Liquid'],Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",368.15,101.0,0.0,4.13,0.28,,368.15,101.0,0.0,4.13,AAPpqL,1-hexyne,C6 H10,C#CCCCC,,"{'Source': 'commercial source', 'Purification': 'stated by supplier', 'Purity': '99 mass %'}",82.15,ABDWVo,1-butyl-3-methylimidazolium trifluoromethanesulfonate,C9 F3 H15 N2 O3 S,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,,"{'Source': 'commercial source', 'Purification': 'stated by supplier', 'Purity': '99.9 mass %', 'Purity analysis': 'dried by vacuum heating'}",288.29,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,C#CCCCC,1-butyl-3-methylimidazolium trifluoromethanesulfonate,1-hexyne,ABDWVo,AAPpqL
pymtV,"{'full': 'Domanska, U.; Marciniak, A. (2010) J. Phys. Chem. B 112(35), 11100-11105.', 'title': 'Activity Coefficients at Infinite Dilution Measurements for Organic Solutes and Water in the Ionic Liquid 1-Butyl-3-methylimidazolium Trifluoromethanesulfonate'}",['Liquid'],Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",298.15,101.0,0.0,35.5,2.4,,298.15,101.0,0.0,35.5,AAVexq,oct-1-ene,C8 H16,C=CCCCCCC,,"{'Source': 'commercial source', 'Purification': 'stated by supplier', 'Purity': '99 mass %'}",112.22,ABDWVo,1-butyl-3-methylimidazolium trifluoromethanesulfonate,C9 F3 H15 N2 O3 S,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,,"{'Source': 'commercial source', 'Purification': 'stated by supplier', 'Purity': '99.9 mass %', 'Purity analysis': 'dried by vacuum heating'}",288.29,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,C=CCCCCCC,1-butyl-3-methylimidazolium trifluoromethanesulfonate,oct-1-ene,ABDWVo,AAVexq
pymtV,"{'full': 'Domanska, U.; Marciniak, A. (2010) J. Phys. Chem. B 112(35), 11100-11105.', 'title': 'Activity Coefficients at Infinite Dilution Measurements for Organic Solutes and Water in the Ionic Liquid 1-Butyl-3-methylimidazolium Trifluoromethanesulfonate'}",['Liquid'],Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",308.15,101.0,0.0,33.5,2.3,,308.15,101.0,0.0,33.5,AAVexq,oct-1-ene,C8 H16,C=CCCCCCC,,"{'Source': 'commercial source', 'Purification': 'stated by supplier', 'Purity': '99 mass %'}",112.22,ABDWVo,1-butyl-3-methylimidazolium trifluoromethanesulfonate,C9 F3 H15 N2 O3 S,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,,"{'Source': 'commercial source', 'Purification': 'stated by supplier', 'Purity': '99.9 mass %', 'Purity analysis': 'dried by vacuum heating'}",288.29,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,C=CCCCCCC,1-butyl-3-methylimidazolium trifluoromethanesulfonate,oct-1-ene,ABDWVo,AAVexq
