id,ref,phases,expmeth,solvent,property,property_type,V1,V2,V3,V4,dV4,dV3,temperature,pressure,mole_fraction,gamma,cmp1_id,cmp1_name,cmp1_formula,cmp1_smiles,cmp1_smiles_error,cmp1_sample,cmp1_mw,cmp2_id,cmp2_name,cmp2_formula,cmp2_smiles,cmp2_smiles_error,cmp2_sample,cmp2_mw
mEOeo,"{'full': 'Domanska, U.; Krolikowska, M. (2011) J. Chem. Eng. Data 56(1), 124-129.', 'title': 'Measurements of Activity Coefficients at Infinite  Dilution for Organic Solutes and Water in the Ionic  Liquid 1-Butyl-1-methylpiperydinium Thiocyanate'}","['Liquid', 'Gas']",Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",318.2,0.0,,3.07,,0.21,318.2,,0.0,3.07,,,,,,,,,,,,,,
mEOeo,"{'full': 'Domanska, U.; Krolikowska, M. (2011) J. Chem. Eng. Data 56(1), 124-129.', 'title': 'Measurements of Activity Coefficients at Infinite  Dilution for Organic Solutes and Water in the Ionic  Liquid 1-Butyl-1-methylpiperydinium Thiocyanate'}","['Liquid', 'Gas']",Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",328.2,0.0,,3.08,,0.21,328.2,,0.0,3.08,,,,,,,,,,,,,,
mEOeo,"{'full': 'Domanska, U.; Krolikowska, M. (2011) J. Chem. Eng. Data 56(1), 124-129.', 'title': 'Measurements of Activity Coefficients at Infinite  Dilution for Organic Solutes and Water in the Ionic  Liquid 1-Butyl-1-methylpiperydinium Thiocyanate'}","['Liquid', 'Gas']",Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",338.2,0.0,,3.09,,0.21,338.2,,0.0,3.09,,,,,,,,,,,,,,
mEOeo,"{'full': 'Domanska, U.; Krolikowska, M. (2011) J. Chem. Eng. Data 56(1), 124-129.', 'title': 'Measurements of Activity Coefficients at Infinite  Dilution for Organic Solutes and Water in the Ionic  Liquid 1-Butyl-1-methylpiperydinium Thiocyanate'}","['Liquid', 'Gas']",Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",348.2,0.0,,3.11,,0.21,348.2,,0.0,3.11,,,,,,,,,,,,,,
mEOeo,"{'full': 'Domanska, U.; Krolikowska, M. (2011) J. Chem. Eng. Data 56(1), 124-129.', 'title': 'Measurements of Activity Coefficients at Infinite  Dilution for Organic Solutes and Water in the Ionic  Liquid 1-Butyl-1-methylpiperydinium Thiocyanate'}","['Liquid', 'Gas']",Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",358.2,0.0,,3.12,,0.21,358.2,,0.0,3.12,,,,,,,,,,,,,,
AATLX,"{'full': 'Domanska, U.; Zawadzki, M.; Krolikowska, M.; Tshibangu, M. M.; Ramjugernath, D.; Letcher, T. M. (2011) J. Chem. Thermodyn. 43(3), 499-504.', 'title': 'Measurements of activity coefficients at infinite dilution of organic compounds and water in isoquinolinium-based ionic liquid [C8iQuin][NTf2] using GLC'}",['Liquid'],Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",328.15,0.0,101.0,0.923,0.058,,328.15,101.0,0.0,0.923,,,,,,,,,,,,,,
AATLX,"{'full': 'Domanska, U.; Zawadzki, M.; Krolikowska, M.; Tshibangu, M. M.; Ramjugernath, D.; Letcher, T. M. (2011) J. Chem. Thermodyn. 43(3), 499-504.', 'title': 'Measurements of activity coefficients at infinite dilution of organic compounds and water in isoquinolinium-based ionic liquid [C8iQuin][NTf2] using GLC'}",['Liquid'],Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",338.15,0.0,101.0,0.94,0.059,,338.15,101.0,0.0,0.94,,,,,,,,,,,,,,
AATLX,"{'full': 'Domanska, U.; Zawadzki, M.; Krolikowska, M.; Tshibangu, M. M.; Ramjugernath, D.; Letcher, T. M. (2011) J. Chem. Thermodyn. 43(3), 499-504.', 'title': 'Measurements of activity coefficients at infinite dilution of organic compounds and water in isoquinolinium-based ionic liquid [C8iQuin][NTf2] using GLC'}",['Liquid'],Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",348.15,0.0,101.0,0.959,0.06,,348.15,101.0,0.0,0.959,,,,,,,,,,,,,,
AATLX,"{'full': 'Domanska, U.; Zawadzki, M.; Krolikowska, M.; Tshibangu, M. M.; Ramjugernath, D.; Letcher, T. M. (2011) J. Chem. Thermodyn. 43(3), 499-504.', 'title': 'Measurements of activity coefficients at infinite dilution of organic compounds and water in isoquinolinium-based ionic liquid [C8iQuin][NTf2] using GLC'}",['Liquid'],Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",358.15,0.0,101.0,0.972,0.061,,358.15,101.0,0.0,0.972,,,,,,,,,,,,,,
AATLX,"{'full': 'Domanska, U.; Zawadzki, M.; Krolikowska, M.; Tshibangu, M. M.; Ramjugernath, D.; Letcher, T. M. (2011) J. Chem. Thermodyn. 43(3), 499-504.', 'title': 'Measurements of activity coefficients at infinite dilution of organic compounds and water in isoquinolinium-based ionic liquid [C8iQuin][NTf2] using GLC'}",['Liquid'],Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",368.15,0.0,101.0,0.99,0.062,,368.15,101.0,0.0,0.99,,,,,,,,,,,,,,
