ref_id_group_0,ref_id_group_1,ref_id_group_2,ref_id_group_3,ref_id_group_4,ref_id_group_5,ref_id_group_6,original_index_group_0,original_index_group_1,original_index_group_2,original_index_group_3,original_index_group_4,original_index_group_5,original_index_group_6,temperature_group_0,temperature_group_1,temperature_group_2,temperature_group_3,temperature_group_4,temperature_group_5,temperature_group_6,gamma_group_0,gamma_group_1,gamma_group_2,gamma_group_3,gamma_group_4,gamma_group_5,gamma_group_6,r2_group_0,r2_group_1,r2_group_2,r2_group_3,r2_group_4,r2_group_5,r2_group_6,inv_temperature_group_0,inv_temperature_group_1,inv_temperature_group_2,inv_temperature_group_3,inv_temperature_group_4,inv_temperature_group_5,inv_temperature_group_6,ln_gamma_group_0,ln_gamma_group_1,ln_gamma_group_2,ln_gamma_group_3,ln_gamma_group_4,ln_gamma_group_5,ln_gamma_group_6
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[3, 3, 3, 3, 3, 3]","[4, 4, 4, 4, 4, 4, 4, 4]","[195, 195, 195]","[166, 166, 166, 166, 166, 166, 166]","[82, 82, 82, 82, 82, 82]",,"[65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89]","[15076, 15077, 15078, 15079, 15080, 15081]","[206, 207, 208, 209, 210, 211, 212, 213]","[48375, 48376, 48377]","[42500, 42501, 42502, 42503, 48147, 48148, 48149]","[19714, 19715, 19716, 19717, 19718, 19719]",,"[301.8, 301.8, 301.8, 301.8, 301.8, 312.4, 312.4, 312.4, 312.4, 312.4, 322.9, 322.9, 322.9, 322.9, 333.2, 333.2, 333.2, 333.2, 344.0, 344.0, 344.0, 344.0, 354.3, 354.3, 354.3]","[301.95, 312.45, 323.05, 333.45, 343.95, 354.45]","[293.15, 293.15, 313.15, 313.15, 333.15, 333.15, 353.15, 353.15]","[298.15, 313.15, 333.15]","[303.15, 313.15, 323.15, 333.15, 313.15, 323.15, 333.15]","[298.15, 308.15, 318.15, 328.15, 338.15, 348.15]",,"[1.34, 1.43, 1.46, 1.46, 1.5, 1.17, 1.27, 1.29, 1.34, 1.35, 1.15, 1.15, 1.22, 1.25, 1.05, 1.07, 1.1, 1.17, 0.98, 0.99, 1.0, 1.02, 0.87, 0.9, 0.93]","[1.46, 1.34, 1.22, 1.1, 0.99, 0.93]","[1.5, 1.54, 1.26, 1.27, 1.05, 1.08, 0.91, 0.93]","[1.34, 1.17, 1.0]","[1.3, 1.19, 1.1, 1.02, 1.16, 1.14, 1.05]","[1.51, 1.37, 1.25, 1.15, 1.06, 0.98]",,0.9369275728599356,0.9955605844940444,0.996281362360546,0.9999232596291912,0.9473621021074388,0.9999479722700438,,"[0.0033134526176275677, 0.0033134526176275677, 0.0033134526176275677, 0.0033134526176275677, 0.0033134526176275677, 0.0032010243277848915, 0.0032010243277848915, 0.0032010243277848915, 0.0032010243277848915, 0.0032010243277848915, 0.0030969340353050484, 0.0030969340353050484, 0.0030969340353050484, 0.0030969340353050484, 0.003001200480192077, 0.003001200480192077, 0.003001200480192077, 0.003001200480192077, 0.0029069767441860465, 0.0029069767441860465, 0.0029069767441860465, 0.0029069767441860465, 0.002822466836014677, 0.002822466836014677, 0.002822466836014677]","[0.003311806590495115, 0.0032005120819331096, 0.003095496053242532, 0.00299895036737142, 0.002907399331298154, 0.002821272393849626]","[0.003411222923418046, 0.003411222923418046, 0.003193357815743254, 0.003193357815743254, 0.0030016509079994, 0.0030016509079994, 0.002831657935721365, 0.002831657935721365]","[0.0033540164346805303, 0.003193357815743254, 0.0030016509079994]","[0.003298697014679202, 0.003193357815743254, 0.0030945381401825778, 0.0030016509079994, 0.003193357815743254, 0.0030945381401825778, 0.0030016509079994]","[0.0033540164346805303, 0.0032451728054518907, 0.0031431714600031434, 0.0030473868657626088, 0.0029572674848440043, 0.002872325147206664]",,"[0.29266961396282004, 0.3576744442718159, 0.37843643572024505, 0.37843643572024505, 0.4054651081081644, 0.1570037488096647, 0.23901690047049992, 0.25464221837358075, 0.29266961396282004, 0.30010459245033816, 0.13976194237515863, 0.13976194237515863, 0.19885085874516517, 0.22314355131420976, 0.04879016416943204, 0.06765864847381486, 0.09531017980432493, 0.1570037488096647, -0.020202707317519466, -0.01005033585350145, 0.0, 0.01980262729617973, -0.13926206733350766, -0.10536051565782628, -0.07257069283483537]","[0.37843643572024505, 0.29266961396282004, 0.19885085874516517, 0.09531017980432493, -0.01005033585350145, -0.07257069283483537]","[0.4054651081081644, 0.43178241642553783, 0.23111172096338664, 0.23901690047049992, 0.04879016416943204, 0.0769610411361284, -0.09431067947124129, -0.07257069283483537]","[0.29266961396282004, 0.1570037488096647, 0.0]","[0.26236426446749106, 0.17395330712343798, 0.09531017980432493, 0.01980262729617973, 0.14842000511827322, 0.131028262406404, 0.04879016416943204]","[0.412109650826833, 0.3148107398400336, 0.22314355131420976, 0.13976194237515863, 0.058268908123975824, -0.020202707317519466]",
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[82, 82, 82, 82, 82, 82]","[3, 3, 3, 3]","[4, 4, 4, 4]",,,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]","[19726, 19727, 19728, 19729, 19730, 19731]","[41300, 41301, 41302, 41303]","[40400, 40401, 40402, 40403]",,,,"[323.1, 323.1, 323.1, 323.1, 323.1, 333.5, 333.5, 333.5, 333.5, 333.5, 333.5, 344.0, 344.0, 344.0, 344.0, 344.0, 344.0, 344.0, 354.5, 354.5, 354.5, 354.5, 354.5, 354.5, 354.5, 364.9, 364.9, 364.9, 364.9, 364.9, 364.9, 375.4, 375.4, 375.4, 375.4, 386.1]","[298.15, 308.15, 318.15, 328.15, 338.15, 348.15]","[322.65, 333.15, 343.65, 354.15]","[293.15, 313.15, 333.15, 353.15]",,,,"[1.98, 1.99, 1.99, 1.99, 2.06, 1.77, 1.78, 1.78, 1.78, 1.83, 1.87, 1.57, 1.6, 1.6, 1.6, 1.61, 1.67, 1.68, 1.42, 1.45, 1.45, 1.46, 1.46, 1.52, 1.53, 1.3, 1.32, 1.32, 1.34, 1.34, 1.37, 1.23, 1.23, 1.23, 1.28, 1.14]","[2.52, 2.23, 2.0, 1.8, 1.65, 1.51]","[2.06, 1.83, 1.67, 1.53]","[2.5, 2.02, 1.63, 1.33]",,,,0.9838426008276449,0.9994918695840748,0.9977050962769538,0.9979084906818678,,,,"[0.003095017022593624, 0.003095017022593624, 0.003095017022593624, 0.003095017022593624, 0.003095017022593624, 0.0029985007496251873, 0.0029985007496251873, 0.0029985007496251873, 0.0029985007496251873, 0.0029985007496251873, 0.0029985007496251873, 0.0029069767441860465, 0.0029069767441860465, 0.0029069767441860465, 0.0029069767441860465, 0.0029069767441860465, 0.0029069767441860465, 0.0029069767441860465, 0.0028208744710860366, 0.0028208744710860366, 0.0028208744710860366, 0.0028208744710860366, 0.0028208744710860366, 0.0028208744710860366, 0.0028208744710860366, 0.002740476842970677, 0.002740476842970677, 0.002740476842970677, 0.002740476842970677, 0.002740476842970677, 0.002740476842970677, 0.002663825253063399, 0.002663825253063399, 0.002663825253063399, 0.002663825253063399, 0.00259000259000259]","[0.0033540164346805303, 0.0032451728054518907, 0.0031431714600031434, 0.0030473868657626088, 0.0029572674848440043, 0.002872325147206664]","[0.003099333643266698, 0.0030016509079994, 0.002909937436345119, 0.002823662289990117]","[0.003411222923418046, 0.003193357815743254, 0.0030016509079994, 0.002831657935721365]",,,,"[0.6830968447064438, 0.688134638736401, 0.688134638736401, 0.688134638736401, 0.7227059828014898, 0.5709795465857378, 0.5766133643039938, 0.5766133643039938, 0.5766133643039938, 0.6043159668533296, 0.6259384308664954, 0.45107561936021673, 0.47000362924573563, 0.47000362924573563, 0.47000362924573563, 0.4762341789963717, 0.5128236264286637, 0.5187937934151675, 0.35065687161316933, 0.371563556432483, 0.371563556432483, 0.37843643572024505, 0.37843643572024505, 0.41871033485818504, 0.4252677354043441, 0.26236426446749106, 0.27763173659827955, 0.27763173659827955, 0.29266961396282004, 0.29266961396282004, 0.3148107398400336, 0.20701416938432612, 0.20701416938432612, 0.20701416938432612, 0.2468600779315258, 0.131028262406404]","[0.9242589015233319, 0.8020015854720274, 0.6931471805599453, 0.5877866649021191, 0.5007752879124892, 0.412109650826833]","[0.7227059828014898, 0.6043159668533296, 0.5128236264286637, 0.4252677354043441]","[0.9162907318741551, 0.7030975114131134, 0.4885800148186709, 0.28517894223366247]",,,
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[82, 82, 82, 82, 82, 82]","[3, 3, 3, 3, 3]",,,,,"[36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64]","[19720, 19721, 19722, 19723, 19724, 19725]","[34900, 34901, 34902, 34903, 34904]",,,,,"[333.4, 343.9, 343.9, 343.9, 354.4, 354.4, 354.4, 354.4, 354.4, 354.4, 354.4, 364.8, 364.8, 364.8, 364.8, 364.8, 364.8, 364.8, 375.2, 375.2, 375.2, 375.2, 375.2, 375.2, 386.0, 386.0, 386.0, 386.0, 396.0]","[298.15, 308.15, 318.15, 328.15, 338.15, 348.15]","[354.05, 364.55, 374.95, 385.45, 395.95]",,,,,"[2.57, 2.25, 2.32, 2.37, 1.98, 2.03, 2.13, 2.14, 2.15, 2.18, 2.19, 1.8, 1.83, 1.95, 1.95, 1.97, 1.97, 1.99, 1.67, 1.77, 1.8, 1.82, 1.82, 1.85, 1.67, 1.67, 1.69, 1.7, 1.56]","[3.51, 3.14, 2.82, 2.56, 2.35, 2.17]","[2.18, 1.97, 1.82, 1.67, 1.56]",,,,,0.932954920581038,0.9994979844363584,0.9986804511961854,,,,,"[0.002999400119976005, 0.002907822041291073, 0.002907822041291073, 0.002907822041291073, 0.0028216704288939053, 0.0028216704288939053, 0.0028216704288939053, 0.0028216704288939053, 0.0028216704288939053, 0.0028216704288939053, 0.0028216704288939053, 0.0027412280701754384, 0.0027412280701754384, 0.0027412280701754384, 0.0027412280701754384, 0.0027412280701754384, 0.0027412280701754384, 0.0027412280701754384, 0.0026652452025586353, 0.0026652452025586353, 0.0026652452025586353, 0.0026652452025586353, 0.0026652452025586353, 0.0026652452025586353, 0.0025906735751295338, 0.0025906735751295338, 0.0025906735751295338, 0.0025906735751295338, 0.0025252525252525255]","[0.0033540164346805303, 0.0032451728054518907, 0.0031431714600031434, 0.0030473868657626088, 0.0029572674848440043, 0.002872325147206664]","[0.002824459822059031, 0.00274310794129749, 0.0026670222696359514, 0.002594370216629913, 0.002525571410531633]",,,,,"[0.9439058989071284, 0.8109302162163288, 0.8415671856782185, 0.8628899551470398, 0.6830968447064438, 0.7080357930536959, 0.7561219797213337, 0.7608058290337602, 0.7654678421395714, 0.7793248768009977, 0.7839015438284094, 0.5877866649021191, 0.6043159668533296, 0.6678293725756554, 0.6678293725756554, 0.6780335427498971, 0.6780335427498971, 0.688134638736401, 0.5128236264286637, 0.5709795465857378, 0.5877866649021191, 0.598836501088704, 0.598836501088704, 0.6151856390902335, 0.5128236264286637, 0.5128236264286637, 0.5247285289349821, 0.5306282510621704, 0.44468582126144574]","[1.2556160374777743, 1.144222799920162, 1.0367368849500223, 0.9400072584914712, 0.8544153281560676, 0.7747271675523681]","[0.7793248768009977, 0.6780335427498971, 0.598836501088704, 0.5128236264286637, 0.44468582126144574]",,,,
"[9, 9, 9, 9, 9, 9, 9, 9]","[26, 26, 26, 26, 26, 26, 26]","[175, 175, 175, 175, 175, 175, 175, 175]",,,,,"[718, 719, 720, 721, 722, 723, 724, 725]","[4382, 4383, 4384, 4385, 4386, 4387, 4388]","[44912, 44913, 44914, 44915, 44920, 44921, 44922, 44923]",,,,,"[298.15, 308.15, 318.15, 328.15, 338.15, 348.15, 358.15, 368.15]","[303.15, 313.15, 323.15, 333.15, 343.15, 353.15, 363.15]","[303.12, 313.15, 323.12, 333.21, 303.15, 313.36, 323.15, 333.15]",,,,,"[78.3, 71.8, 65.9, 61.0, 57.2, 53.1, 49.9, 47.0]","[87.2, 79.9, 74.1, 68.3, 63.2, 60.3, 55.1]","[70.3, 65.6, 60.1, 55.7, 71.2, 65.5, 60.3, 55.2]",,,,,0.9997940299233952,0.9974470975449474,0.9954892032718212,,,,,"[0.0033540164346805303, 0.0032451728054518907, 0.0031431714600031434, 0.0030473868657626088, 0.0029572674848440043, 0.002872325147206664, 0.002792126204104426, 0.0027162841233192994]","[0.003298697014679202, 0.003193357815743254, 0.0030945381401825778, 0.0030016509079994, 0.002914177473408131, 0.002831657935721365, 0.002753683051080821]","[0.003299023489047242, 0.003193357815743254, 0.003094825451844516, 0.0030011104108520156, 0.003298697014679202, 0.003191217768700536, 0.0030945381401825778, 0.0030016509079994]",,,,,"[4.360547602996758, 4.273884476054178, 4.188138441508461, 4.110873864173311, 4.046553898385752, 3.9721769282478934, 3.910021002757473, 3.8501476017100584]","[4.468204330914934, 4.380775852772229, 4.3054155323020415, 4.223909766576744, 4.146304301152812, 4.09933210373314, 4.009149716158869]","[4.252771798816619, 4.183575695950044, 4.096009841541162, 4.019980146933238, 4.26549281841793, 4.182050142641207, 4.09933210373314, 4.01096295328305]",,,,
"[9, 9, 9, 9, 9, 9, 9, 9]","[26, 26, 26, 26, 26, 26, 26]","[175, 175, 175, 175, 175, 175, 175, 175]",,,,,"[710, 711, 712, 713, 714, 715, 716, 717]","[4389, 4390, 4391, 4392, 4393, 4394, 4395]","[44908, 44909, 44910, 44911, 44916, 44917, 44918, 44919]",,,,,"[298.15, 308.15, 318.15, 328.15, 338.15, 348.15, 358.15, 368.15]","[303.15, 313.15, 323.15, 333.15, 343.15, 353.15, 363.15]","[303.12, 313.15, 323.12, 333.21, 303.45, 313.15, 323.14, 333.15]",,,,,"[55.9, 51.2, 47.4, 43.8, 40.9, 38.2, 35.7, 33.9]","[56.7, 51.6, 48.5, 46.0, 43.3, 41.1, 38.8]","[45.0, 42.3, 39.8, 36.9, 45.0, 42.4, 39.8, 37.0]",,,,,0.9998022242773072,0.996672039801892,0.9945866318277936,,,,,"[0.0033540164346805303, 0.0032451728054518907, 0.0031431714600031434, 0.0030473868657626088, 0.0029572674848440043, 0.002872325147206664, 0.002792126204104426, 0.0027162841233192994]","[0.003298697014679202, 0.003193357815743254, 0.0030945381401825778, 0.0030016509079994, 0.002914177473408131, 0.002831657935721365, 0.002753683051080821]","[0.003299023489047242, 0.003193357815743254, 0.003094825451844516, 0.0030011104108520156, 0.0032954358213873785, 0.003193357815743254, 0.0030946339048090613, 0.0030016509079994]",,,,,"[4.023564380161053, 3.9357395320454622, 3.858622228701031, 3.7796338173824005, 3.711130063048756, 3.6428355156125294, 3.5751506887855933, 3.5234150143864045]","[4.037774210733707, 3.9435216724875173, 3.8815637979434374, 3.828641396489095, 3.768152635008444, 3.716008121502189, 3.6584202466292277]","[3.8066624897703196, 3.744787086052232, 3.6838669122903918, 3.6082115510464816, 3.8066624897703196, 3.7471483622379123, 3.6838669122903918, 3.6109179126442243]",,,,
"[9, 9, 9, 9, 9, 9, 9]","[26, 26, 26, 26, 26, 26, 26]","[175, 175, 175, 175, 175, 175, 175, 175]",,,,,"[3325, 3326, 3327, 3328, 3329, 3330, 3331]","[4298, 4299, 4300, 4301, 4302, 4303, 4304]","[44820, 44821, 44822, 44823, 44900, 44901, 44902, 44903]",,,,,"[298.15, 308.15, 318.15, 328.15, 338.15, 348.15, 358.15]","[303.15, 313.15, 323.15, 333.15, 343.15, 353.15, 363.15]","[303.45, 313.15, 323.14, 333.15, 303.16, 313.19, 323.16, 333.22]",,,,,"[41.6, 38.1, 34.7, 32.1, 29.8, 27.7, 26.0]","[37.8, 35.7, 33.9, 32.1, 30.3, 29.1, 27.6]","[29.8, 28.4, 26.5, 24.8, 29.0, 27.7, 25.9, 24.5]",,,,,0.9997671989582736,0.9987262027238684,0.9633971405302348,,,,,"[0.0033540164346805303, 0.0032451728054518907, 0.0031431714600031434, 0.0030473868657626088, 0.0029572674848440043, 0.002872325147206664, 0.002792126204104426]","[0.003298697014679202, 0.003193357815743254, 0.0030945381401825778, 0.0030016509079994, 0.002914177473408131, 0.002831657935721365, 0.002753683051080821]","[0.0032954358213873785, 0.003193357815743254, 0.0030946339048090613, 0.0030016509079994, 0.0032985882042485815, 0.0031929499664740254, 0.0030944423814828564, 0.003001020346917952]",,,,,"[3.728100167267218, 3.6402142821326553, 3.5467396869528134, 3.4688560301359703, 3.3945083935113587, 3.3214324131932926, 3.258096538021482]","[3.632309102625542, 3.5751506887855933, 3.5234150143864045, 3.4688560301359703, 3.4111477125153233, 3.370738174177447, 3.3178157727231046]","[3.3945083935113587, 3.3463891451671604, 3.2771447329921766, 3.2108436531709366, 3.367295829986474, 3.3214324131932926, 3.254242968705492, 3.1986731175506815]",,,,
"[3, 3, 3, 3, 3, 3]","[4, 4, 4, 4, 4, 4, 4, 4]","[166, 166, 166, 166, 166, 166, 166, 166]",,,,,"[15088, 15089, 15090, 15091, 15092, 15093]","[214, 215, 216, 217, 218, 219, 220, 221]","[42496, 42497, 42498, 42499, 42504, 42505, 42506, 42507]",,,,,"[301.65, 312.25, 322.75, 333.25, 343.75, 354.05]","[293.15, 293.15, 313.15, 313.15, 333.15, 333.15, 353.15, 353.15]","[303.15, 313.15, 323.15, 333.15, 303.15, 313.15, 323.15, 333.15]",,,,,"[1.93, 1.68, 1.49, 1.33, 1.21, 1.09]","[1.95, 1.95, 1.53, 1.56, 1.15, 1.17, 1.02, 1.08]","[1.72, 1.48, 1.37, 1.23, 1.71, 1.55, 1.44, 1.33]",,,,,0.9994740328633492,0.9766059127370044,0.938543542219176,,,,,"[0.003315100281783524, 0.0032025620496397116, 0.003098373353989156, 0.003000750187546887, 0.002909090909090909, 0.002824459822059031]","[0.003411222923418046, 0.003411222923418046, 0.003193357815743254, 0.003193357815743254, 0.0030016509079994, 0.0030016509079994, 0.002831657935721365, 0.002831657935721365]","[0.003298697014679202, 0.003193357815743254, 0.0030945381401825778, 0.0030016509079994, 0.003298697014679202, 0.003193357815743254, 0.0030945381401825778, 0.0030016509079994]",,,,,"[0.6575200029167941, 0.5187937934151675, 0.3987761199573678, 0.28517894223366247, 0.1906203596086497, 0.08617769624105241]","[0.6678293725756554, 0.6678293725756554, 0.4252677354043441, 0.44468582126144574, 0.13976194237515863, 0.1570037488096647, 0.01980262729617973, 0.0769610411361284]","[0.5423242908253617, 0.3920420877760237, 0.3148107398400336, 0.20701416938432612, 0.5364933705145685, 0.4382549309311553, 0.36464311358790924, 0.28517894223366247]",,,,
"[3, 3, 3, 3, 3, 3]","[4, 4, 4, 4, 4, 4, 4, 4]","[166, 166, 166, 166]",,,,,"[15082, 15083, 15084, 15085, 15086, 15087]","[222, 223, 224, 225, 226, 227, 228, 229]","[42492, 42493, 42494, 42495]",,,,,"[301.95, 312.45, 323.05, 333.45, 343.95, 354.45]","[293.15, 293.15, 313.15, 313.15, 333.15, 333.15, 353.15, 353.15]","[303.15, 313.15, 323.15, 333.15]",,,,,"[1.95, 1.71, 1.51, 1.35, 1.2, 1.08]","[1.82, 1.85, 1.47, 1.49, 1.23, 1.24, 1.03, 1.05]","[1.6, 1.47, 1.36, 1.27]",,,,,0.999751263018596,0.998620727595706,0.999623597329306,,,,,"[0.003311806590495115, 0.0032005120819331096, 0.003095496053242532, 0.00299895036737142, 0.002907399331298154, 0.002821272393849626]","[0.003411222923418046, 0.003411222923418046, 0.003193357815743254, 0.003193357815743254, 0.0030016509079994, 0.0030016509079994, 0.002831657935721365, 0.002831657935721365]","[0.003298697014679202, 0.003193357815743254, 0.0030945381401825778, 0.0030016509079994]",,,,,"[0.6678293725756554, 0.5364933705145685, 0.412109650826833, 0.30010459245033816, 0.1823215567939546, 0.0769610411361284]","[0.598836501088704, 0.6151856390902335, 0.3852624007906449, 0.3987761199573678, 0.20701416938432612, 0.2151113796169455, 0.02955880224154443, 0.04879016416943204]","[0.47000362924573563, 0.3852624007906449, 0.3074846997479607, 0.23901690047049992]",,,,
"[120, 120, 120, 120, 120]","[161, 161, 161, 161]","[181, 181, 181, 181]","[134, 134, 134, 134]",,,,"[32930, 32931, 32932, 32933, 32934]","[41184, 41185, 41186, 41187]","[46012, 46013, 46014, 46015]","[43232, 43233, 43234, 43235]",,,,"[303.15, 303.15, 303.15, 318.15, 318.15]","[313.0, 323.0, 333.0, 343.0]","[313.9, 323.3, 333.7, 344.1]","[293.15, 303.15, 313.15, 323.15]",,,,"[26.1, 26.2, 26.3, 24.0, 24.2]","[25.3, 24.5, 23.1, 22.1]","[25.3, 24.5, 23.1, 22.054]","[30.1, 27.9, 25.9, 24.2]",,,,0.9924683649669293,0.9848405406764922,0.9895468299348829,0.9999243737805223,,,,"[0.003298697014679202, 0.003298697014679202, 0.003298697014679202, 0.0031431714600031434, 0.0031431714600031434]","[0.003194888178913738, 0.0030959752321981426, 0.003003003003003003, 0.0029154518950437317]","[0.0031857279388340237, 0.0030931023816888337, 0.0029967036260113876, 0.0029061319383900026]","[0.003411222923418046, 0.003298697014679202, 0.003193357815743254, 0.0030945381401825778]",,,,"[3.261935314328648, 3.265759410767051, 3.269568939183719, 3.1780538303479458, 3.186352633162641]","[3.2308043957334744, 3.1986731175506815, 3.139832617527748, 3.095577608523707]","[3.2308043957334744, 3.1986731175506815, 3.139832617527748, 3.0934939913364867]","[3.40452517175483, 3.32862668882732, 3.254242968705492, 3.186352633162641]",,,
"[38, 38, 38, 38]","[141, 141, 141, 141, 141]","[143, 143, 143, 143, 143]",,,,"[210, 213, 218]","[45652, 45653, 45654, 45655]","[38250, 38251, 38252, 38253, 38254]","[38385, 38386, 38387, 38388, 38389]",,,,"[53117, 52683, 53082]","[333.0, 343.0, 358.0, 368.0]","[313.0, 323.0, 333.0, 343.0, 353.0]","[323.15, 333.15, 343.15, 353.15, 363.15]",,,,"[323.0, 298.0, 303.0]","[0.31, 0.32, 0.31, 0.32]","[1.26, 1.21, 1.09, 1.06, 1.03]","[1.21, 1.11, 1.02, 0.94, 0.84]",,,,"[0.8, 1.3, 0.8]",0.138342737242477,0.9503218166150424,0.9919774887221978,,,,0.4421301543443675,"[0.003003003003003003, 0.0029154518950437317, 0.002793296089385475, 0.002717391304347826]","[0.003194888178913738, 0.0030959752321981426, 0.003003003003003003, 0.0029154518950437317, 0.0028328611898017]","[0.0030945381401825778, 0.0030016509079994, 0.002914177473408131, 0.002831657935721365, 0.002753683051080821]",,,,"[0.0030959752321981426, 0.003355704697986577, 0.0033003300330033004]","[-1.171182981502945, -1.1394342831883648, -1.171182981502945, -1.1394342831883648]","[0.23111172096338664, 0.1906203596086497, 0.08617769624105241, 0.058268908123975824, 0.02955880224154443]","[0.1906203596086497, 0.10436001532424286, 0.01980262729617973, -0.06187540371808753, -0.1743533871447778]",,,,"[-0.2231435513142097, 0.26236426446749106, -0.2231435513142097]"
