ref_id_group_0,ref_id_group_1,ref_id_group_2,ref_id_group_3,ref_id_group_4,ref_id_group_5,ref_id_seudo_group,original_index_group_0,original_index_group_1,original_index_group_2,original_index_group_3,original_index_group_4,original_index_group_5,original_index_seudo_group,temperature_group_0,temperature_group_1,temperature_group_2,temperature_group_3,temperature_group_4,temperature_group_5,temperature_seudo_group,gamma_group_0,gamma_group_1,gamma_group_2,gamma_group_3,gamma_group_4,gamma_group_5,gamma_seudo_group,r2_seudo_group
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[3, 3, 3, 3, 3, 3]","[4, 4, 4, 4, 4, 4, 4, 4]","[195, 195, 195]","[166, 166, 166, 166, 166, 166, 166]","[82, 82, 82, 82, 82, 82]",,"[65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89]","[15076, 15077, 15078, 15079, 15080, 15081]","[206, 207, 208, 209, 210, 211, 212, 213]","[48375, 48376, 48377]","[42500, 42501, 42502, 42503, 48147, 48148, 48149]","[19714, 19715, 19716, 19717, 19718, 19719]",,"[301.8, 301.8, 301.8, 301.8, 301.8, 312.4, 312.4, 312.4, 312.4, 312.4, 322.9, 322.9, 322.9, 322.9, 333.2, 333.2, 333.2, 333.2, 344.0, 344.0, 344.0, 344.0, 354.3, 354.3, 354.3]","[301.95, 312.45, 323.05, 333.45, 343.95, 354.45]","[293.15, 293.15, 313.15, 313.15, 333.15, 333.15, 353.15, 353.15]","[298.15, 313.15, 333.15]","[303.15, 313.15, 323.15, 333.15, 313.15, 323.15, 333.15]","[298.15, 308.15, 318.15, 328.15, 338.15, 348.15]",,"[1.34, 1.43, 1.46, 1.46, 1.5, 1.17, 1.27, 1.29, 1.34, 1.35, 1.15, 1.15, 1.22, 1.25, 1.05, 1.07, 1.1, 1.17, 0.98, 0.99, 1.0, 1.02, 0.87, 0.9, 0.93]","[1.46, 1.34, 1.22, 1.1, 0.99, 0.93]","[1.5, 1.54, 1.26, 1.27, 1.05, 1.08, 0.91, 0.93]","[1.34, 1.17, 1.0]","[1.3, 1.19, 1.1, 1.02, 1.16, 1.14, 1.05]","[1.51, 1.37, 1.25, 1.15, 1.06, 0.98]",,
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[82, 82, 82, 82, 82, 82]","[3, 3, 3, 3]","[4, 4, 4, 4]",,,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]","[19726, 19727, 19728, 19729, 19730, 19731]","[41300, 41301, 41302, 41303]","[40400, 40401, 40402, 40403]",,,,"[323.1, 323.1, 323.1, 323.1, 323.1, 333.5, 333.5, 333.5, 333.5, 333.5, 333.5, 344.0, 344.0, 344.0, 344.0, 344.0, 344.0, 344.0, 354.5, 354.5, 354.5, 354.5, 354.5, 354.5, 354.5, 364.9, 364.9, 364.9, 364.9, 364.9, 364.9, 375.4, 375.4, 375.4, 375.4, 386.1]","[298.15, 308.15, 318.15, 328.15, 338.15, 348.15]","[322.65, 333.15, 343.65, 354.15]","[293.15, 313.15, 333.15, 353.15]",,,,"[1.98, 1.99, 1.99, 1.99, 2.06, 1.77, 1.78, 1.78, 1.78, 1.83, 1.87, 1.57, 1.6, 1.6, 1.6, 1.61, 1.67, 1.68, 1.42, 1.45, 1.45, 1.46, 1.46, 1.52, 1.53, 1.3, 1.32, 1.32, 1.34, 1.34, 1.37, 1.23, 1.23, 1.23, 1.28, 1.14]","[2.52, 2.23, 2.0, 1.8, 1.65, 1.51]","[2.06, 1.83, 1.67, 1.53]","[2.5, 2.02, 1.63, 1.33]",,,,
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[82, 82, 82, 82, 82, 82]","[3, 3, 3, 3, 3]",,,,,"[36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64]","[19720, 19721, 19722, 19723, 19724, 19725]","[34900, 34901, 34902, 34903, 34904]",,,,,"[333.4, 343.9, 343.9, 343.9, 354.4, 354.4, 354.4, 354.4, 354.4, 354.4, 354.4, 364.8, 364.8, 364.8, 364.8, 364.8, 364.8, 364.8, 375.2, 375.2, 375.2, 375.2, 375.2, 375.2, 386.0, 386.0, 386.0, 386.0, 396.0]","[298.15, 308.15, 318.15, 328.15, 338.15, 348.15]","[354.05, 364.55, 374.95, 385.45, 395.95]",,,,,"[2.57, 2.25, 2.32, 2.37, 1.98, 2.03, 2.13, 2.14, 2.15, 2.18, 2.19, 1.8, 1.83, 1.95, 1.95, 1.97, 1.97, 1.99, 1.67, 1.77, 1.8, 1.82, 1.82, 1.85, 1.67, 1.67, 1.69, 1.7, 1.56]","[3.51, 3.14, 2.82, 2.56, 2.35, 2.17]","[2.18, 1.97, 1.82, 1.67, 1.56]",,,,,
"[9, 9, 9, 9, 9, 9, 9, 9]","[26, 26, 26, 26, 26, 26, 26]","[175, 175, 175, 175, 175, 175, 175, 175]",,,,,"[718, 719, 720, 721, 722, 723, 724, 725]","[4382, 4383, 4384, 4385, 4386, 4387, 4388]","[44912, 44913, 44914, 44915, 44920, 44921, 44922, 44923]",,,,,"[298.15, 308.15, 318.15, 328.15, 338.15, 348.15, 358.15, 368.15]","[303.15, 313.15, 323.15, 333.15, 343.15, 353.15, 363.15]","[303.12, 313.15, 323.12, 333.21, 303.15, 313.36, 323.15, 333.15]",,,,,"[78.3, 71.8, 65.9, 61.0, 57.2, 53.1, 49.9, 47.0]","[87.2, 79.9, 74.1, 68.3, 63.2, 60.3, 55.1]","[70.3, 65.6, 60.1, 55.7, 71.2, 65.5, 60.3, 55.2]",,,,,
"[9, 9, 9, 9, 9, 9, 9, 9]","[26, 26, 26, 26, 26, 26, 26]","[175, 175, 175, 175, 175, 175, 175, 175]",,,,,"[710, 711, 712, 713, 714, 715, 716, 717]","[4389, 4390, 4391, 4392, 4393, 4394, 4395]","[44908, 44909, 44910, 44911, 44916, 44917, 44918, 44919]",,,,,"[298.15, 308.15, 318.15, 328.15, 338.15, 348.15, 358.15, 368.15]","[303.15, 313.15, 323.15, 333.15, 343.15, 353.15, 363.15]","[303.12, 313.15, 323.12, 333.21, 303.45, 313.15, 323.14, 333.15]",,,,,"[55.9, 51.2, 47.4, 43.8, 40.9, 38.2, 35.7, 33.9]","[56.7, 51.6, 48.5, 46.0, 43.3, 41.1, 38.8]","[45.0, 42.3, 39.8, 36.9, 45.0, 42.4, 39.8, 37.0]",,,,,
"[9, 9, 9, 9, 9, 9, 9]","[26, 26, 26, 26, 26, 26, 26]","[175, 175, 175, 175, 175, 175, 175, 175]",,,,,"[3325, 3326, 3327, 3328, 3329, 3330, 3331]","[4298, 4299, 4300, 4301, 4302, 4303, 4304]","[44820, 44821, 44822, 44823, 44900, 44901, 44902, 44903]",,,,,"[298.15, 308.15, 318.15, 328.15, 338.15, 348.15, 358.15]","[303.15, 313.15, 323.15, 333.15, 343.15, 353.15, 363.15]","[303.45, 313.15, 323.14, 333.15, 303.16, 313.19, 323.16, 333.22]",,,,,"[41.6, 38.1, 34.7, 32.1, 29.8, 27.7, 26.0]","[37.8, 35.7, 33.9, 32.1, 30.3, 29.1, 27.6]","[29.8, 28.4, 26.5, 24.8, 29.0, 27.7, 25.9, 24.5]",,,,,
"[3, 3, 3, 3, 3, 3]","[4, 4, 4, 4, 4, 4, 4, 4]","[166, 166, 166, 166, 166, 166, 166, 166]",,,,,"[15088, 15089, 15090, 15091, 15092, 15093]","[214, 215, 216, 217, 218, 219, 220, 221]","[42496, 42497, 42498, 42499, 42504, 42505, 42506, 42507]",,,,,"[301.65, 312.25, 322.75, 333.25, 343.75, 354.05]","[293.15, 293.15, 313.15, 313.15, 333.15, 333.15, 353.15, 353.15]","[303.15, 313.15, 323.15, 333.15, 303.15, 313.15, 323.15, 333.15]",,,,,"[1.93, 1.68, 1.49, 1.33, 1.21, 1.09]","[1.95, 1.95, 1.53, 1.56, 1.15, 1.17, 1.02, 1.08]","[1.72, 1.48, 1.37, 1.23, 1.71, 1.55, 1.44, 1.33]",,,,,
"[3, 3, 3, 3, 3, 3]","[4, 4, 4, 4, 4, 4, 4, 4]","[166, 166, 166, 166]",,,,,"[15082, 15083, 15084, 15085, 15086, 15087]","[222, 223, 224, 225, 226, 227, 228, 229]","[42492, 42493, 42494, 42495]",,,,,"[301.95, 312.45, 323.05, 333.45, 343.95, 354.45]","[293.15, 293.15, 313.15, 313.15, 333.15, 333.15, 353.15, 353.15]","[303.15, 313.15, 323.15, 333.15]",,,,,"[1.95, 1.71, 1.51, 1.35, 1.2, 1.08]","[1.82, 1.85, 1.47, 1.49, 1.23, 1.24, 1.03, 1.05]","[1.6, 1.47, 1.36, 1.27]",,,,,
"[120, 120, 120, 120, 120]","[161, 161, 161, 161]","[181, 181, 181, 181]","[134, 134, 134, 134]",,,,"[32930, 32931, 32932, 32933, 32934]","[41184, 41185, 41186, 41187]","[46012, 46013, 46014, 46015]","[43232, 43233, 43234, 43235]",,,,"[303.15, 303.15, 303.15, 318.15, 318.15]","[313.0, 323.0, 333.0, 343.0]","[313.9, 323.3, 333.7, 344.1]","[293.15, 303.15, 313.15, 323.15]",,,,"[26.1, 26.2, 26.3, 24.0, 24.2]","[25.3, 24.5, 23.1, 22.1]","[25.3, 24.5, 23.1, 22.054]","[30.1, 27.9, 25.9, 24.2]",,,,
"[38, 38, 38, 38]","[141, 141, 141, 141, 141]","[143, 143, 143, 143, 143]",,,,"[210, 213, 218]","[45652, 45653, 45654, 45655]","[38250, 38251, 38252, 38253, 38254]","[38385, 38386, 38387, 38388, 38389]",,,,"[53117, 52683, 53082]","[333.0, 343.0, 358.0, 368.0]","[313.0, 323.0, 333.0, 343.0, 353.0]","[323.15, 333.15, 343.15, 353.15, 363.15]",,,,"[323.0, 298.0, 303.0]","[0.31, 0.32, 0.31, 0.32]","[1.26, 1.21, 1.09, 1.06, 1.03]","[1.21, 1.11, 1.02, 0.94, 0.84]",,,,"[0.8, 1.3, 0.8]",0.4421301543443675
