ref_id_general_group,original_index_general_group,temperature_general_group,gamma_general_group,ref_id_group_0,original_index_group_0,temperature_group_0,gamma_group_0,ref_id_group_1,original_index_group_1,temperature_group_1,gamma_group_1,ref_id_group_2,original_index_group_2,temperature_group_2,gamma_group_2,ref_id_group_3,original_index_group_3,temperature_group_3,gamma_group_3,ref_id_group_4,original_index_group_4,temperature_group_4,gamma_group_4,ref_id_group_5,original_index_group_5,temperature_group_5,gamma_group_5,ref_id_seudo_group,original_index_seudo_group,temperature_seudo_group,gamma_seudo_group
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 82, 82, 82, 82, 82, 82, 166, 166, 166, 166, 166, 166, 166, 195, 195, 195]","[65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 206, 207, 208, 209, 210, 211, 212, 213, 15076, 15077, 15078, 15079, 15080, 15081, 19714, 19715, 19716, 19717, 19718, 19719, 42500, 42501, 42502, 42503, 48147, 48148, 48149, 48375, 48376, 48377]","[301.8, 301.8, 301.8, 301.8, 301.8, 312.4, 312.4, 312.4, 312.4, 312.4, 322.9, 322.9, 322.9, 322.9, 333.2, 333.2, 333.2, 333.2, 344.0, 344.0, 344.0, 344.0, 354.3, 354.3, 354.3, 293.15, 293.15, 313.15, 313.15, 333.15, 333.15, 353.15, 353.15, 301.95, 312.45, 323.05, 333.45, 343.95, 354.45, 298.15, 308.15, 318.15, 328.15, 338.15, 348.15, 303.15, 313.15, 323.15, 333.15, 313.15, 323.15, 333.15, 298.15, 313.15, 333.15]","[1.34, 1.43, 1.46, 1.46, 1.5, 1.17, 1.27, 1.29, 1.34, 1.35, 1.15, 1.15, 1.22, 1.25, 1.05, 1.07, 1.1, 1.17, 0.98, 0.99, 1.0, 1.02, 0.87, 0.9, 0.93, 1.5, 1.54, 1.26, 1.27, 1.05, 1.08, 0.91, 0.93, 1.46, 1.34, 1.22, 1.1, 0.99, 0.93, 1.51, 1.37, 1.25, 1.15, 1.06, 0.98, 1.3, 1.19, 1.1, 1.02, 1.16, 1.14, 1.05, 1.34, 1.17, 1.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89]","[301.8, 301.8, 301.8, 301.8, 301.8, 312.4, 312.4, 312.4, 312.4, 312.4, 322.9, 322.9, 322.9, 322.9, 333.2, 333.2, 333.2, 333.2, 344.0, 344.0, 344.0, 344.0, 354.3, 354.3, 354.3]","[1.34, 1.43, 1.46, 1.46, 1.5, 1.17, 1.27, 1.29, 1.34, 1.35, 1.15, 1.15, 1.22, 1.25, 1.05, 1.07, 1.1, 1.17, 0.98, 0.99, 1.0, 1.02, 0.87, 0.9, 0.93]","[3, 3, 3, 3, 3, 3]","[15076, 15077, 15078, 15079, 15080, 15081]","[301.95, 312.45, 323.05, 333.45, 343.95, 354.45]","[1.46, 1.34, 1.22, 1.1, 0.99, 0.93]","[4, 4, 4, 4, 4, 4, 4, 4]","[206, 207, 208, 209, 210, 211, 212, 213]","[293.15, 293.15, 313.15, 313.15, 333.15, 333.15, 353.15, 353.15]","[1.5, 1.54, 1.26, 1.27, 1.05, 1.08, 0.91, 0.93]","[195, 195, 195]","[48375, 48376, 48377]","[298.15, 313.15, 333.15]","[1.34, 1.17, 1.0]","[166, 166, 166, 166, 166, 166, 166]","[42500, 42501, 42502, 42503, 48147, 48148, 48149]","[303.15, 313.15, 323.15, 333.15, 313.15, 323.15, 333.15]","[1.3, 1.19, 1.1, 1.02, 1.16, 1.14, 1.05]","[82, 82, 82, 82, 82, 82]","[19714, 19715, 19716, 19717, 19718, 19719]","[298.15, 308.15, 318.15, 328.15, 338.15, 348.15]","[1.51, 1.37, 1.25, 1.15, 1.06, 0.98]",,,,
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 82, 82, 82, 82, 82, 82, 4, 4, 4, 4, 3, 3, 3, 3]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 19726, 19727, 19728, 19729, 19730, 19731, 40400, 40401, 40402, 40403, 41300, 41301, 41302, 41303]","[323.1, 323.1, 323.1, 323.1, 323.1, 333.5, 333.5, 333.5, 333.5, 333.5, 333.5, 344.0, 344.0, 344.0, 344.0, 344.0, 344.0, 344.0, 354.5, 354.5, 354.5, 354.5, 354.5, 354.5, 354.5, 364.9, 364.9, 364.9, 364.9, 364.9, 364.9, 375.4, 375.4, 375.4, 375.4, 386.1, 298.15, 308.15, 318.15, 328.15, 338.15, 348.15, 293.15, 313.15, 333.15, 353.15, 322.65, 333.15, 343.65, 354.15]","[1.98, 1.99, 1.99, 1.99, 2.06, 1.77, 1.78, 1.78, 1.78, 1.83, 1.87, 1.57, 1.6, 1.6, 1.6, 1.61, 1.67, 1.68, 1.42, 1.45, 1.45, 1.46, 1.46, 1.52, 1.53, 1.3, 1.32, 1.32, 1.34, 1.34, 1.37, 1.23, 1.23, 1.23, 1.28, 1.14, 2.52, 2.23, 2.0, 1.8, 1.65, 1.51, 2.5, 2.02, 1.63, 1.33, 2.06, 1.83, 1.67, 1.53]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]","[323.1, 323.1, 323.1, 323.1, 323.1, 333.5, 333.5, 333.5, 333.5, 333.5, 333.5, 344.0, 344.0, 344.0, 344.0, 344.0, 344.0, 344.0, 354.5, 354.5, 354.5, 354.5, 354.5, 354.5, 354.5, 364.9, 364.9, 364.9, 364.9, 364.9, 364.9, 375.4, 375.4, 375.4, 375.4, 386.1]","[1.98, 1.99, 1.99, 1.99, 2.06, 1.77, 1.78, 1.78, 1.78, 1.83, 1.87, 1.57, 1.6, 1.6, 1.6, 1.61, 1.67, 1.68, 1.42, 1.45, 1.45, 1.46, 1.46, 1.52, 1.53, 1.3, 1.32, 1.32, 1.34, 1.34, 1.37, 1.23, 1.23, 1.23, 1.28, 1.14]","[82, 82, 82, 82, 82, 82]","[19726, 19727, 19728, 19729, 19730, 19731]","[298.15, 308.15, 318.15, 328.15, 338.15, 348.15]","[2.52, 2.23, 2.0, 1.8, 1.65, 1.51]","[3, 3, 3, 3]","[41300, 41301, 41302, 41303]","[322.65, 333.15, 343.65, 354.15]","[2.06, 1.83, 1.67, 1.53]","[4, 4, 4, 4]","[40400, 40401, 40402, 40403]","[293.15, 313.15, 333.15, 353.15]","[2.5, 2.02, 1.63, 1.33]",,,,,,,,,,,,
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 82, 82, 82, 82, 82, 82, 3, 3, 3, 3, 3]","[36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 19720, 19721, 19722, 19723, 19724, 19725, 34900, 34901, 34902, 34903, 34904]","[333.4, 343.9, 343.9, 343.9, 354.4, 354.4, 354.4, 354.4, 354.4, 354.4, 354.4, 364.8, 364.8, 364.8, 364.8, 364.8, 364.8, 364.8, 375.2, 375.2, 375.2, 375.2, 375.2, 375.2, 386.0, 386.0, 386.0, 386.0, 396.0, 298.15, 308.15, 318.15, 328.15, 338.15, 348.15, 354.05, 364.55, 374.95, 385.45, 395.95]","[2.57, 2.25, 2.32, 2.37, 1.98, 2.03, 2.13, 2.14, 2.15, 2.18, 2.19, 1.8, 1.83, 1.95, 1.95, 1.97, 1.97, 1.99, 1.67, 1.77, 1.8, 1.82, 1.82, 1.85, 1.67, 1.67, 1.69, 1.7, 1.56, 3.51, 3.14, 2.82, 2.56, 2.35, 2.17, 2.18, 1.97, 1.82, 1.67, 1.56]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64]","[333.4, 343.9, 343.9, 343.9, 354.4, 354.4, 354.4, 354.4, 354.4, 354.4, 354.4, 364.8, 364.8, 364.8, 364.8, 364.8, 364.8, 364.8, 375.2, 375.2, 375.2, 375.2, 375.2, 375.2, 386.0, 386.0, 386.0, 386.0, 396.0]","[2.57, 2.25, 2.32, 2.37, 1.98, 2.03, 2.13, 2.14, 2.15, 2.18, 2.19, 1.8, 1.83, 1.95, 1.95, 1.97, 1.97, 1.99, 1.67, 1.77, 1.8, 1.82, 1.82, 1.85, 1.67, 1.67, 1.69, 1.7, 1.56]","[82, 82, 82, 82, 82, 82]","[19720, 19721, 19722, 19723, 19724, 19725]","[298.15, 308.15, 318.15, 328.15, 338.15, 348.15]","[3.51, 3.14, 2.82, 2.56, 2.35, 2.17]","[3, 3, 3, 3, 3]","[34900, 34901, 34902, 34903, 34904]","[354.05, 364.55, 374.95, 385.45, 395.95]","[2.18, 1.97, 1.82, 1.67, 1.56]",,,,,,,,,,,,,,,,
"[9, 9, 9, 9, 9, 9, 9, 9, 26, 26, 26, 26, 26, 26, 26, 175, 175, 175, 175, 175, 175, 175, 175]","[718, 719, 720, 721, 722, 723, 724, 725, 4382, 4383, 4384, 4385, 4386, 4387, 4388, 44912, 44913, 44914, 44915, 44920, 44921, 44922, 44923]","[298.15, 308.15, 318.15, 328.15, 338.15, 348.15, 358.15, 368.15, 303.15, 313.15, 323.15, 333.15, 343.15, 353.15, 363.15, 303.12, 313.15, 323.12, 333.21, 303.15, 313.36, 323.15, 333.15]","[78.3, 71.8, 65.9, 61.0, 57.2, 53.1, 49.9, 47.0, 87.2, 79.9, 74.1, 68.3, 63.2, 60.3, 55.1, 70.3, 65.6, 60.1, 55.7, 71.2, 65.5, 60.3, 55.2]","[9, 9, 9, 9, 9, 9, 9, 9]","[718, 719, 720, 721, 722, 723, 724, 725]","[298.15, 308.15, 318.15, 328.15, 338.15, 348.15, 358.15, 368.15]","[78.3, 71.8, 65.9, 61.0, 57.2, 53.1, 49.9, 47.0]","[26, 26, 26, 26, 26, 26, 26]","[4382, 4383, 4384, 4385, 4386, 4387, 4388]","[303.15, 313.15, 323.15, 333.15, 343.15, 353.15, 363.15]","[87.2, 79.9, 74.1, 68.3, 63.2, 60.3, 55.1]","[175, 175, 175, 175, 175, 175, 175, 175]","[44912, 44913, 44914, 44915, 44920, 44921, 44922, 44923]","[303.12, 313.15, 323.12, 333.21, 303.15, 313.36, 323.15, 333.15]","[70.3, 65.6, 60.1, 55.7, 71.2, 65.5, 60.3, 55.2]",,,,,,,,,,,,,,,,
"[9, 9, 9, 9, 9, 9, 9, 9, 26, 26, 26, 26, 26, 26, 26, 175, 175, 175, 175, 175, 175, 175, 175]","[710, 711, 712, 713, 714, 715, 716, 717, 4389, 4390, 4391, 4392, 4393, 4394, 4395, 44908, 44909, 44910, 44911, 44916, 44917, 44918, 44919]","[298.15, 308.15, 318.15, 328.15, 338.15, 348.15, 358.15, 368.15, 303.15, 313.15, 323.15, 333.15, 343.15, 353.15, 363.15, 303.12, 313.15, 323.12, 333.21, 303.45, 313.15, 323.14, 333.15]","[55.9, 51.2, 47.4, 43.8, 40.9, 38.2, 35.7, 33.9, 56.7, 51.6, 48.5, 46.0, 43.3, 41.1, 38.8, 45.0, 42.3, 39.8, 36.9, 45.0, 42.4, 39.8, 37.0]","[9, 9, 9, 9, 9, 9, 9, 9]","[710, 711, 712, 713, 714, 715, 716, 717]","[298.15, 308.15, 318.15, 328.15, 338.15, 348.15, 358.15, 368.15]","[55.9, 51.2, 47.4, 43.8, 40.9, 38.2, 35.7, 33.9]","[26, 26, 26, 26, 26, 26, 26]","[4389, 4390, 4391, 4392, 4393, 4394, 4395]","[303.15, 313.15, 323.15, 333.15, 343.15, 353.15, 363.15]","[56.7, 51.6, 48.5, 46.0, 43.3, 41.1, 38.8]","[175, 175, 175, 175, 175, 175, 175, 175]","[44908, 44909, 44910, 44911, 44916, 44917, 44918, 44919]","[303.12, 313.15, 323.12, 333.21, 303.45, 313.15, 323.14, 333.15]","[45.0, 42.3, 39.8, 36.9, 45.0, 42.4, 39.8, 37.0]",,,,,,,,,,,,,,,,
"[9, 9, 9, 9, 9, 9, 9, 26, 26, 26, 26, 26, 26, 26, 175, 175, 175, 175, 175, 175, 175, 175]","[3325, 3326, 3327, 3328, 3329, 3330, 3331, 4298, 4299, 4300, 4301, 4302, 4303, 4304, 44820, 44821, 44822, 44823, 44900, 44901, 44902, 44903]","[298.15, 308.15, 318.15, 328.15, 338.15, 348.15, 358.15, 303.15, 313.15, 323.15, 333.15, 343.15, 353.15, 363.15, 303.45, 313.15, 323.14, 333.15, 303.16, 313.19, 323.16, 333.22]","[41.6, 38.1, 34.7, 32.1, 29.8, 27.7, 26.0, 37.8, 35.7, 33.9, 32.1, 30.3, 29.1, 27.6, 29.8, 28.4, 26.5, 24.8, 29.0, 27.7, 25.9, 24.5]","[9, 9, 9, 9, 9, 9, 9]","[3325, 3326, 3327, 3328, 3329, 3330, 3331]","[298.15, 308.15, 318.15, 328.15, 338.15, 348.15, 358.15]","[41.6, 38.1, 34.7, 32.1, 29.8, 27.7, 26.0]","[26, 26, 26, 26, 26, 26, 26]","[4298, 4299, 4300, 4301, 4302, 4303, 4304]","[303.15, 313.15, 323.15, 333.15, 343.15, 353.15, 363.15]","[37.8, 35.7, 33.9, 32.1, 30.3, 29.1, 27.6]","[175, 175, 175, 175, 175, 175, 175, 175]","[44820, 44821, 44822, 44823, 44900, 44901, 44902, 44903]","[303.45, 313.15, 323.14, 333.15, 303.16, 313.19, 323.16, 333.22]","[29.8, 28.4, 26.5, 24.8, 29.0, 27.7, 25.9, 24.5]",,,,,,,,,,,,,,,,
"[4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 166, 166, 166, 166, 166, 166, 166, 166]","[214, 215, 216, 217, 218, 219, 220, 221, 15088, 15089, 15090, 15091, 15092, 15093, 42496, 42497, 42498, 42499, 42504, 42505, 42506, 42507]","[293.15, 293.15, 313.15, 313.15, 333.15, 333.15, 353.15, 353.15, 301.65, 312.25, 322.75, 333.25, 343.75, 354.05, 303.15, 313.15, 323.15, 333.15, 303.15, 313.15, 323.15, 333.15]","[1.95, 1.95, 1.53, 1.56, 1.15, 1.17, 1.02, 1.08, 1.93, 1.68, 1.49, 1.33, 1.21, 1.09, 1.72, 1.48, 1.37, 1.23, 1.71, 1.55, 1.44, 1.33]","[3, 3, 3, 3, 3, 3]","[15088, 15089, 15090, 15091, 15092, 15093]","[301.65, 312.25, 322.75, 333.25, 343.75, 354.05]","[1.93, 1.68, 1.49, 1.33, 1.21, 1.09]","[4, 4, 4, 4, 4, 4, 4, 4]","[214, 215, 216, 217, 218, 219, 220, 221]","[293.15, 293.15, 313.15, 313.15, 333.15, 333.15, 353.15, 353.15]","[1.95, 1.95, 1.53, 1.56, 1.15, 1.17, 1.02, 1.08]","[166, 166, 166, 166, 166, 166, 166, 166]","[42496, 42497, 42498, 42499, 42504, 42505, 42506, 42507]","[303.15, 313.15, 323.15, 333.15, 303.15, 313.15, 323.15, 333.15]","[1.72, 1.48, 1.37, 1.23, 1.71, 1.55, 1.44, 1.33]",,,,,,,,,,,,,,,,
"[114, 114, 114, 114, 114, 148, 148, 148, 148, 148, 178, 178, 178, 178, 189, 189, 189, 207, 207, 207, 210, 210]","[32000, 32001, 32002, 32003, 32004, 39525, 39526, 39527, 39528, 39529, 45472, 45473, 45474, 45475, 48012, 48013, 48014, 51963, 51964, 51965, 52508, 52509]","[323.16, 328.16, 333.14, 338.14, 343.22, 303.15, 313.15, 323.15, 333.15, 343.15, 303.35, 312.55, 322.55, 332.55, 303.0, 323.0, 343.0, 313.1, 333.1, 353.1, 298.0, 323.0]","[96.0, 89.0, 83.8, 80.1, 75.3, 92.5, 86.7, 81.7, 78.9, 71.5, 259.0, 250.0, 216.0, 142.3, 134.1, 115.3, 99.0, 78.7, 69.0, 62.2, 83.5, 70.3]","[207, 207, 207]","[51963, 51964, 51965]","[313.1, 333.1, 353.1]","[78.7, 69.0, 62.2]","[178, 178, 178, 178]","[45472, 45473, 45474, 45475]","[303.35, 312.55, 322.55, 332.55]","[259.0, 250.0, 216.0, 142.3]","[114, 114, 114, 114, 114]","[32000, 32001, 32002, 32003, 32004]","[323.16, 328.16, 333.14, 338.14, 343.22]","[96.0, 89.0, 83.8, 80.1, 75.3]","[148, 148, 148, 148, 148]","[39525, 39526, 39527, 39528, 39529]","[303.15, 313.15, 323.15, 333.15, 343.15]","[92.5, 86.7, 81.7, 78.9, 71.5]","[189, 189, 189]","[48012, 48013, 48014]","[303.0, 323.0, 343.0]","[134.1, 115.3, 99.0]",,,,,"[210, 210]","[52508, 52509]","[298.0, 323.0]","[83.5, 70.3]"
"[148, 148, 148, 148, 148, 114, 114, 114, 114, 178, 178, 178, 178, 189, 189, 189, 207, 207, 207, 210, 210]","[39520, 39521, 39522, 39523, 39524, 40100, 40101, 40102, 40103, 45488, 45489, 45490, 45491, 48009, 48010, 48011, 51969, 51970, 51971, 52506, 52507]","[303.15, 313.15, 323.15, 333.15, 343.15, 323.15, 328.18, 333.2, 343.26, 303.35, 312.55, 322.55, 332.55, 303.0, 323.0, 343.0, 313.1, 333.1, 353.1, 298.0, 323.0]","[60.8, 57.5, 54.2, 50.5, 47.0, 66.7, 63.3, 61.0, 54.9, 132.9, 130.4, 97.4, 74.2, 93.4, 76.5, 67.5, 56.7, 47.8, 45.2, 65.9, 50.6]","[207, 207, 207]","[51969, 51970, 51971]","[313.1, 333.1, 353.1]","[56.7, 47.8, 45.2]","[178, 178, 178, 178]","[45488, 45489, 45490, 45491]","[303.35, 312.55, 322.55, 332.55]","[132.9, 130.4, 97.4, 74.2]","[114, 114, 114, 114]","[40100, 40101, 40102, 40103]","[323.15, 328.18, 333.2, 343.26]","[66.7, 63.3, 61.0, 54.9]","[148, 148, 148, 148, 148]","[39520, 39521, 39522, 39523, 39524]","[303.15, 313.15, 323.15, 333.15, 343.15]","[60.8, 57.5, 54.2, 50.5, 47.0]","[189, 189, 189]","[48009, 48010, 48011]","[303.0, 323.0, 343.0]","[93.4, 76.5, 67.5]",,,,,"[210, 210]","[52506, 52507]","[298.0, 323.0]","[65.9, 50.6]"
"[114, 114, 114, 114, 114, 148, 148, 148, 148, 148, 178, 178, 178, 178, 207, 207, 207, 210, 210]","[31990, 31991, 31992, 31993, 31994, 39515, 39516, 39517, 39518, 39519, 45492, 45493, 45494, 45495, 51966, 51967, 51968, 52510, 52511]","[323.16, 328.16, 333.14, 338.14, 343.22, 303.15, 313.15, 323.15, 333.15, 343.15, 303.35, 312.55, 322.55, 332.55, 313.1, 333.1, 353.1, 298.0, 323.0]","[170.0, 160.0, 155.0, 146.0, 143.0, 139.1, 136.0, 127.0, 118.7, 111.1, 425.0, 368.0, 333.0, 298.0, 92.2, 83.7, 72.4, 116.8, 95.5]","[207, 207, 207]","[51966, 51967, 51968]","[313.1, 333.1, 353.1]","[92.2, 83.7, 72.4]","[178, 178, 178, 178]","[45492, 45493, 45494, 45495]","[303.35, 312.55, 322.55, 332.55]","[425.0, 368.0, 333.0, 298.0]","[114, 114, 114, 114, 114]","[31990, 31991, 31992, 31993, 31994]","[323.16, 328.16, 333.14, 338.14, 343.22]","[170.0, 160.0, 155.0, 146.0, 143.0]","[148, 148, 148, 148, 148]","[39515, 39516, 39517, 39518, 39519]","[303.15, 313.15, 323.15, 333.15, 343.15]","[139.1, 136.0, 127.0, 118.7, 111.1]",,,,,,,,,"[210, 210]","[52510, 52511]","[298.0, 323.0]","[116.8, 95.5]"
