ref_id,ref
1,"{'full': 'Heintz, A.; Verevkin, S. P.; Lehmann, J. K.; Vasiltsova, T. V.; Ondo, D. (2007) J. Chem. Thermodyn. 39(2), 268-274.', 'title': 'Activity coefficients at infinite dilution and enthalpies of solution of methanol, 1-butanol, and 1-hexanol in 1-hexyl-3-methyl-imidazolium bis(trifluoromethyl-sulfonyl) imide'}"
2,"{'full': 'Rosenboom, J.-G.; Afzal, W.; Prausnitz, J. M. (2012) J. Chem. Thermodyn. 47, 320-327.', 'title': 'Solubilities of some organic solutes in 1-ethyl-3-methylimidazolium acetate. Chromatographic measurements and predictions from COSMO-RS'}"
3,"{'full': 'Heintz, A.; Verevkin, S. P.; Ondo, D. (2006) J. Chem. Eng. Data 51(2), 434-437.', 'title': 'Thermodynamic Properties of Mixtures Containing Ionic Liquids. 8. Activity Coefficients at Infinite Dilution of Hydrocarbons, Alcohols, Esters, and Aldehydes in 1-Hexyl-3-methylimidazolium Bis(trifluoromethylsulfonyl) Imide Using Gas-Liquid Chromatography'}"
4,"{'full': 'Dobryakov, Y. G.; Tuma, D.; Maurer, G. (2008) J. Chem. Eng. Data 53(9), 2154-2162.', 'title': 'Activity Coefficients at Infinite Dilution of Alkanols in the Ionic Liquids 1-Butyl-3-methylimidazolium Hexafluorophosphate, 1-Butyl-3-methylimidazolium Methyl Sulfate, and 1-Hexyl-3-methylimidazolium Bis(trifluoromethylsulfonyl) Amide Using the Dilutor Technique'}"
5,"{'full': 'Domanska, U.; Krolikowska, M. (2010) J. Phys. Chem. B 114, 8460-8466.', 'title': 'Measurements of Activity Coefficients at Infinite Dilution in Solvent Mixtures with Thiocyanate-Based Ionic Liquids Using GLC Technique'}"
6,"{'full': 'Domanska, U.; Laskowska, M. (2009) J. Chem. Thermodyn. 41(5), 645-650.', 'title': 'Measurements of activity coefficients at infinite dilution of aliphatic and aromatic hydrocarbons, alcohols, thiophene, tetrahydrofuran, MTBE, and water in ionic liquid [BMIM][SCN] using GLC'}"
7,"{'full': 'Domanska, U.; Marciniak, A. (2007) J. Phys. Chem. B 111(41), 11984-11988.', 'title': 'Activity Coefficients at Infinite Dilution Measurements for Organic Solutes and Water in the Ionic Liquid 1-Ethyl-3-methylimidazolium Trifluoroacetate'}"
8,"{'full': 'Domanska, U.; Marciniak, A. (2008) J. Chem. Thermodyn. 40(5), 860-866.', 'title': 'Measurements of activity coefficients at infinite dilution of aromatic  and aliphatic hydrocarbons, alcohols, and water in the new ionic  liquid [EMIM][SCN] using GLC'}"
9,"{'full': 'Domanska, U.; Marciniak, A. (2008) J. Phys. Chem. B 112, 11100-11105.', 'title': 'Activity Coefficients at Infinite Dilution Measurements for Organic Solutes and Water in the Ionic Liquid 1-Butyl-3-methylimidazolium Trifluoromethanesulfonate'}"
10,"{'full': 'Domanska, U.; Marciniak, A. (2009) J. Chem. Thermodyn. 41(6), 754-758.', 'title': 'Activity coefficients at infinite dilution measurements for organic solutes and  water in the ionic liquid triethylsulphonium bis(trifluoromethylsulfonyl)imide'}"
11,"{'full': 'Domanska, U.; Marciniak, A. (2009) J. Chem. Thermodyn. 41(12), 1350-1355.', 'title': 'Activity coefficients at infinite dilution measurements for organic solutes  and water in the ionic liquid 4-methyl-N-butyl-pyridinium  bis(trifluoromethylsulfonyl)-imide'}"
12,"{'full': 'Domanska, U.; Marciniak, A. (2009) Fluid Phase Equilib. 286(2), 154-161.', 'title': 'Activity coefficients at infinite dilution measurements for organic solutes  and water in the 1-hexyloxymethyl-3-methyl-imidazolium and  1,3-dihexyloxymethyl-imidazolium bis(trifluoromethylsulfonyl)-imide ionic  liquids The cation influence'}"
13,"{'full': 'Domanska, U.; Marciniak, A. (2010) J. Phys. Chem. B 112(35), 11100-11105.', 'title': 'Activity Coefficients at Infinite Dilution Measurements for Organic Solutes and Water in the Ionic Liquid 1-Butyl-3-methylimidazolium Trifluoromethanesulfonate'}"
14,"{'full': 'Domanska, U.; Paduszynski, K. (2010) J. Chem. Thermodyn. 42(6), 707-711.', 'title': 'Gas liquid chromatography measurements of activity coefficients at infinite dilution of various organic solutes and water in tri-iso-butylmethylphosphonium tosylate ionic liquid'}"
15,"{'full': 'Domanska, U.; Marciniak, A.; Krolikowska, M.; Arasimowicz, M. (2010) J. Chem. Eng. Data 55(7), 2532-2536.', 'title': 'Activity Coefficients at Infinite Dilution Measurements for Organic Solutes and Water in the Ionic Liquid 1-Hexyl-3-methylimidazolium Thiocyanate'}"
16,"{'full': 'Domanska-Zelazna, U.; Redhi, G. G.; Marciniak, A. (2009) Fluid Phase Equilib. 278(1-2), 97-102.', 'title': 'Activity coefficients at infinite dilution measurements for organic solutes and  water in the ionic liquid 1-butyl-1-methylpyrrolidinium  trifluoromethanesulfonate using GLC'}"
17,"{'full': 'Heintz, A.; Vasiltsova, T. V.; Safarov, J.; Bich, E.; Verevkin, S. P. (2006) J. Chem. Eng. Data 51(2), 648-655.', 'title': 'Thermodynamic Properties of Mixtures Containing Ionic Liquids. 9. Activity Coefficients at Infinite Dilution of Hydrocarbons, Alcohols, Esters, and Aldehydes in Trimethyl-butylammonium Bis(trifluoromethylsulfonyl) Imide Using Gas-Liquid Chromatography and Static Method'}"
18,"{'full': 'Shevelyova, M. P.; Zaitsau, D. H.; Paulechka, Y. U.; Blokhin, A. V.; Kabo, G. J. (2007) J. Chem. Eng. Data 52(4), 1360-1365.', 'title': 'Solid-Liquid Equilibrium and Activity Coefficients for Caprolactam + 1-Hexyl-3-methylimidazolium Bis(trifluoromethylsulfonyl)imide and Cyclohexanone Oxime + 1-Hexyl-3-methylimidazolium Bis(trifluoromethylsulfonyl)imide'}"
19,"{'full': 'Tumba, K.; Reddy, P.; Naidoo, P.; Ramjugernath, D. (2011) J. Chem. Thermodyn. 43(5), 670-676.', 'title': 'Activity coefficients at infinite dilution of organic solutes in the ionic liquid trihexyl(tetradecyl)phosphonium tetrafluoroborate using gas liquid  chromatography at T = (313.15, 333.15, 353.15, and 373.15) K'}"
20,"{'full': 'Tumba, K.; Letcher, T.; Naidoo, P.; Ramjugernath, D. (2012) J. Chem. Thermodyn. 49, 46-53.', 'title': 'Activity coefficients at infinite dilution of organic solutes in the ionic liquid  trihexyltetradecylphosphonium hexafluorophosphate using gas liquid  chromatography at T = (313.15, 333.15, 353.15, and 363.15) K'}"
21,"{'full': 'Wlazlo, M.; Marciniak, A.; Zawadzki, M.; Dudkiewicz, B. (2015) J. Chem. Thermodyn. 86, 154-161.', 'title': 'Activity coefficients at infinite dilution and physicochemical properties for organic solutes and water in the ionic liquid 4-(3-hydroxypropyl)-4-methylmorpholinium bis(trifluoromethylsulfonyl)-amide'}"
22,"{'full': 'Domanska, U.; Marciniak, A. (2010) J. Phys. Chem. B 114, 16542-16547.', 'title': 'Physicochemical Properties and Activity Coefficients at Infinite Dilution for Organic Solutes and Water in the Ionic Liquid 1-Decyl-3-methylimidazolium Tetracyanoborate'}"
23,"{'full': 'Domanska, U.; Krolikowska, M.; Acree, Jr., W. E.; Baker, G. A. (2011) J. Chem. Thermodyn. 43(7), 1050-1057.', 'title': 'Activity coefficients at infinite dilution measurements for organic solutes and water in the ionic liquid 1-ethyl-3-methylimidazolium tetracyanoborate'}"
24,"{'full': 'Domanska, U.; Karpinska, M.; Zawadzki, M. (2015) J. Chem. Thermodyn. 89, 127-133.', 'title': 'Activity coefficients at infinite dilution for organic solutes and water in 1-ethyl-1-methylpyrrolidinium lactate'}"
25,"{'full': 'Domanska, U.; Wlazlo, M.; Karpinska, M.; Zawadzki, M. (2017) J. Chem. Thermodyn. 110, 227-236.', 'title': 'Separation of binary mixtures hexane/hex-1-ene, cyclohexane/cyclohexene and ethylbenzene/styrene based on limiting activity coefficients'}"
26,"{'full': 'Ge, M.-L.; Wang, L. -S. (2008) J. Chem. Eng. Data 53(3), 846-849.', 'title': 'Activity Coefficients at Infinite Dilution of Polar Solutes in 1-Butyl-3-methylimidazolium Trifluoromethanesulfonate Using Gas Liquid Chromatography'}"
