original_index,selected_samples,rejected_samples
"[65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 206, 207, 208, 209, 210, 211, 212, 213, 15076, 15077, 15078, 15079, 15080, 15081, 19714, 19715, 19716, 19717, 19718, 19719, 42500, 42501, 42502, 42503, 48147, 48148, 48149, 48375, 48376, 48377]","[19714, 19715, 19716, 19717, 19718, 19719]","[65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 206, 207, 208, 209, 210, 211, 212, 213, 15076, 15077, 15078, 15079, 15080, 15081, 42500, 42501, 42502, 42503, 48147, 48148, 48149, 48375, 48376, 48377]"
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 19726, 19727, 19728, 19729, 19730, 19731, 40400, 40401, 40402, 40403, 41300, 41301, 41302, 41303]","[19726, 19727, 19728, 19729, 19730, 19731]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 40400, 40401, 40402, 40403, 41300, 41301, 41302, 41303]"
"[36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 19720, 19721, 19722, 19723, 19724, 19725, 34900, 34901, 34902, 34903, 34904]","[19720, 19721, 19722, 19723, 19724, 19725]","[36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 34900, 34901, 34902, 34903, 34904]"
"[718, 719, 720, 721, 722, 723, 724, 725, 4382, 4383, 4384, 4385, 4386, 4387, 4388, 44912, 44913, 44914, 44915, 44920, 44921, 44922, 44923]","[718, 719, 720, 721, 722, 723, 724, 725]","[4382, 4383, 4384, 4385, 4386, 4387, 4388, 44912, 44913, 44914, 44915, 44920, 44921, 44922, 44923]"
"[710, 711, 712, 713, 714, 715, 716, 717, 4389, 4390, 4391, 4392, 4393, 4394, 4395, 44908, 44909, 44910, 44911, 44916, 44917, 44918, 44919]","[710, 711, 712, 713, 714, 715, 716, 717]","[4389, 4390, 4391, 4392, 4393, 4394, 4395, 44908, 44909, 44910, 44911, 44916, 44917, 44918, 44919]"
"[3325, 3326, 3327, 3328, 3329, 3330, 3331, 4298, 4299, 4300, 4301, 4302, 4303, 4304, 44820, 44821, 44822, 44823, 44900, 44901, 44902, 44903]","[3325, 3326, 3327, 3328, 3329, 3330, 3331]","[4298, 4299, 4300, 4301, 4302, 4303, 4304, 44820, 44821, 44822, 44823, 44900, 44901, 44902, 44903]"
"[214, 215, 216, 217, 218, 219, 220, 221, 15088, 15089, 15090, 15091, 15092, 15093, 42496, 42497, 42498, 42499, 42504, 42505, 42506, 42507]","[15088, 15089, 15090, 15091, 15092, 15093]","[214, 215, 216, 217, 218, 219, 220, 221, 42496, 42497, 42498, 42499, 42504, 42505, 42506, 42507]"
"[32000, 32001, 32002, 32003, 32004, 39525, 39526, 39527, 39528, 39529, 45472, 45473, 45474, 45475, 48012, 48013, 48014, 51963, 51964, 51965, 52508, 52509]","[52508, 52509]","[32000, 32001, 32002, 32003, 32004, 39525, 39526, 39527, 39528, 39529, 45472, 45473, 45474, 45475, 48012, 48013, 48014, 51963, 51964, 51965]"
"[39520, 39521, 39522, 39523, 39524, 40100, 40101, 40102, 40103, 45488, 45489, 45490, 45491, 48009, 48010, 48011, 51969, 51970, 51971, 52506, 52507]","[52506, 52507]","[39520, 39521, 39522, 39523, 39524, 40100, 40101, 40102, 40103, 45488, 45489, 45490, 45491, 48009, 48010, 48011, 51969, 51970, 51971]"
"[31990, 31991, 31992, 31993, 31994, 39515, 39516, 39517, 39518, 39519, 45492, 45493, 45494, 45495, 51966, 51967, 51968, 52510, 52511]","[52510, 52511]","[31990, 31991, 31992, 31993, 31994, 39515, 39516, 39517, 39518, 39519, 45492, 45493, 45494, 45495, 51966, 51967, 51968]"
